trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9900498337491681}",25,0,-90.51333570195585,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9801986733067553}",25,0,-117.26814681678522,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9704455335485082}",35,0,-252.82689459733828,"{0: 20, 1: 4, 2: 5, 3: 2, 4: 4}",0
4,False,"{'a': 0.01, 'e': 0.9607894391523232}",20,0,-175.4759518025553,"{0: 11, 1: 2, 2: 2, 3: 2, 4: 3}",0
5,False,"{'a': 0.01, 'e': 0.951229424500714}",20,0,-103.57141497528607,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9417645335842487}",25,0,-112.45053105812458,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9323938199059483}",25,0,-104.95034343465444,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",1
8,False,"{'a': 0.01, 'e': 0.9231163463866358}",25,0,-190.74769252371888,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 5}",0
9,False,"{'a': 0.01, 'e': 0.9139311852712282}",25,0,-74.7881254712899,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9048374180359595}",20,0,-21.313046651522313,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.8958341352965282}",20,0,-65.0589528871995,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.01, 'e': 0.8869204367171575}",20,0,-99.70301659365275,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.8780954309205613}",25,6,-114.87910223457246,"{0: 13, 1: 1, 2: 1, 3: 2, 4: 2}",1
14,False,"{'a': 0.01, 'e': 0.8693582353988059}",20,0,-192.55184695973327,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
15,False,"{'a': 0.01, 'e': 0.8607079764250578}",25,0,-52.245988391266934,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.8521437889662113}",25,0,-55.65900645569458,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.8436648165963837}",25,0,-115.47972594726068,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.835270211411272}",35,0,-36.659510211473695,"{0: 29, 1: 2, 2: 2, 3: 2, 4: 0}",0
19,False,"{'a': 0.01, 'e': 0.8269591339433623}",25,0,-108.6811463175415,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
20,False,"{'a': 0.01, 'e': 0.8187307530779818}",25,0,-122.8273493817569,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
21,False,"{'a': 0.01, 'e': 0.8105842459701871}",30,5,-151.16660771915377,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",1
